Your Publication's Number|Title|Earliest Priority Date|Publication Date|Assignee(s)|Inventors|CPC Codes
US7741592_B1|Physiological sensor with booster circuit|12/9/2008|6/22/2010|COVIDIEN|"Widman, Ronald A. (Macomb);
Anderson, Arik (Birmingham);
Gonopolskiy, Oleg (West Bloomfield);
Barrett, Bruce J. (Birmingham)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
G01N: INVESTIGATING OR ANALYSING MATERIALS BY DETERMINING THEIR CHEMICAL OR PHYSICAL PROPERTIES;
G01J: MEASUREMENT OF INTENSITY, VELOCITY, SPECTRAL CONTENT, POLARISATION, PHASE OR PULSE CHARACTERISTICS OF INFRA-RED, VISIBLE OR ULTRA-VIOLET LIGHT; COLORIMETRY; RADIATION PYROMETRY"
US9404961_B2|System and method of determining light source aging|12/9/2008|8/2/2016|COVIDIEN|"Widman, Ronald A. (Macomb);
Anderson, Arik (Birmingham);
Gonopolskiy, Oleg (West Bloomfield);
Barrett, Bruce J. (Birmingham)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
G01R: MEASURING ELECTRIC VARIABLES; MEASURING MAGNETIC VARIABLES;
H05B: ELECTRIC HEATING; ELECTRIC LIGHTING NOT OTHERWISE PROVIDED FOR"
US8197479_B2|Vessel sealer and divider|12/10/2008|6/12/2012|COVIDIEN|"Olson, Jessica E. (Frederick);
Unger, Jeffrey R. (Longmont)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8118783_B2|Access assembly with spherical valve|1/30/2008|2/21/2012|COVIDIEN|Smith, Robert C. (Middletown)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20100147921_A1|Surgical Apparatus Including Surgical Buttress|12/16/2008|6/17/2010|COVIDIEN|Olson, Lee (Wallingford)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8727199_B2|Surgical stapler|1/3/2008|5/20/2014|COVIDIEN|Wenchell, Thomas (Durham)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20090171172_A1|Method and system for pulse gating|12/19/2008|7/2/2009|COVIDIEN|"O'neil, Michael P. (Pleasanton);
Bordon, Daryl L. (Livermore)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8092430_B2|Single port device with multi-lumen cap|3/3/2008|1/10/2012|COVIDIEN|"Rockrohr, Brian (Waterbury);
Stellon, Gene A. (Burlington);
Richard, Paul D. (Shelton);
Carter, Sally (Wallingford);
Hartoumbekis, Elias (New Haven)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8011554_B2|Raised boss for staple guide|1/9/2008|9/6/2011|COVIDIEN|Milliman, Keith L. (Bethel)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8490851_B2|Surgical stapling apparatus|1/15/2008|7/23/2013|COVIDIEN|"Hathaway, Peter (Lebanon);
Taylor, Eric (Middletown);
Blier, Kenneth (Meriden)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8945111_B2|Choked dielectric loaded tip dipole microwave antenna|1/23/2008|2/3/2015|COVIDIEN|"Brannan, Joseph D. (Erie);
Rick, Kyle R. (Boulder)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
H01Q: ANTENNAS, i.e. RADIO AERIALS"
US7642451_B2|Thermally tuned coaxial cable for microwave antennas|1/23/2008|1/5/2010|COVIDIEN|Bonn, Kenlyn S. (Boulder)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
H01B: CABLES; CONDUCTORS; INSULATORS; SELECTION OF MATERIALS FOR THEIR CONDUCTIVE, INSULATING OR DIELECTRIC PROPERTIES"
US8152802_B2|Energy delivery algorithm filter pre-loading|1/12/2009|4/10/2012|COVIDIEN|"Podhajsky, Ronald J. (Boulder);
Heckel, Donald W. (Thornton)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8162932_B2|Energy delivery algorithm impedance trend adaptation|1/12/2009|4/24/2012|COVIDIEN|"Podhajsky, Ronald J. (Boulder);
Heckel, Donald W. (Thornton)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8167875_B2|Energy delivery algorithm for medical devices|1/12/2009|5/1/2012|COVIDIEN|"Johnson, Kristin D. (Louisville);
Wham, Robert H. (Boulder);
Podhajsky, Ronald J. (Boulder);
Case, Jason (Longmont);
Riegner, Kari (Golden)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8211100_B2|Energy delivery algorithm for medical devices based on maintaining a fixed position on a tissue electrical conductivity v. temperature curve|1/12/2009|7/3/2012|COVIDIEN|"Johnson, Kristin D. (Louisville);
Wham, Robert H. (Boulder);
Podhajsky, Ronald J. (Boulder);
Case, Jason (Longmont);
Riegner, Kari (Golden)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8333759_B2|Energy delivery algorithm for medical devices|1/12/2009|12/18/2012|COVIDIEN|Podhajsky, Ronald J. (Boulder)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8771169_B2|Imaging system for a surgical device|1/10/2008|7/8/2014|COVIDIEN|"Whitman, Michael P. (New Hope);
Malinouskas, Donald (Monroe)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8114122_B2|Apparatus, system, and method for performing an electrosurgical procedure|1/13/2009|2/14/2012|COVIDIEN|Nau, Jr. William H. (Longmont)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8192444_B2|Uterine sealer|1/16/2008|6/5/2012|COVIDIEN|Dycus, Sean T. (Broomfield)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8222564_B2|Methods of altering surgical fiber|2/13/2008|7/17/2012|COVIDIEN|"Cohen, Matthew D. (Berlin);
Maiorino, Nicholas (Branford);
Primavera, Michael (Orange)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION;
D06M: TREATMENT, NOT PROVIDED FOR ELSEWHERE IN CLASS D06, OF FIBRES, THREADS, YARNS, FABRICS, FEATHERS, OR FIBROUS GOODS MADE FROM SUCH MATERIALS"
US8231553_B2|Method for wireless control of electrosurgery|1/13/2009|7/31/2012|COVIDIEN|"Joseph, Daniel A. (Golden);
Zimmerer, Tatiana E. (Castle Rock)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
G09B: EDUCATIONAL OR DEMONSTRATION APPLIANCES; APPLIANCES FOR TEACHING, OR COMMUNICATING WITH, THE BLIND, DEAF OR MUTE; MODELS; PLANETARIA; GLOBES; MAPS; DIAGRAMS;
G06F: ELECTRIC DIGITAL DATA PROCESSING"
US8235917_B2|Wireless electrosurgical controller|1/13/2009|8/7/2012|COVIDIEN|"Joseph, Daniel A. (Golden);
Zimmerer, Tatiana E. (Castle Rock)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
G09B: EDUCATIONAL OR DEMONSTRATION APPLIANCES; APPLIANCES FOR TEACHING, OR COMMUNICATING WITH, THE BLIND, DEAF OR MUTE; MODELS; PLANETARIA; GLOBES; MAPS; DIAGRAMS;
G06F: ELECTRIC DIGITAL DATA PROCESSING"
US8262703_B2|Medical device including member that deploys in a spiral-like configuration and method|1/31/2008|9/11/2012|COVIDIEN|"Prakash, Mani N. (Boulder);
Nguyen, Tao D. (Red Wood City);
Nguyen, Tao D. (Redwood City)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8282634_B2|Apparatus, system, and method for performing an electrosurgical procedure|1/14/2009|10/9/2012|COVIDIEN|"Allen, Iv James D. (Broomfield);
Horner, Glenn A. (Boulder);
Cunningham, James S. (Boulder)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
C08L: COMPOSITIONS OF MACROMOLECULAR COMPOUNDS"
US8353902_B2|Articulating ablation device and method|1/31/2008|1/15/2013|COVIDIEN|Prakash, Mani N. (Boulder)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8632539_B2|Vessel sealer and divider|1/14/2009|1/21/2014|COVIDIEN|"Kingsley, Dylan R. (Broomfield);
Twomey, John R. (Superior);
Kingsley, Dylan E. (Broomfield)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8632564_B2|Apparatus, system, and method for performing an electrosurgical procedure|1/14/2009|1/21/2014|COVIDIEN|Cunningham, James S. (Boulder)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
C08L: COMPOSITIONS OF MACROMOLECULAR COMPOUNDS"
US8486059_B2|Multi-layer return electrode|2/15/2008|7/16/2013|COVIDIEN|Schoenman, Arthur L. (Longmont)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20090192554_A1|Bioabsorbable block copolymer|1/29/2008|7/30/2009|COVIDIEN|Bennett, Steven L. (Cheshire)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61L: METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL; DISINFECTION, STERILISATION, OR DEODORISATION OF AIR; CHEMICAL ASPECTS OF BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES; MATERIALS FOR BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES;
C08G: MACROMOLECULAR COMPOUNDS OBTAINED OTHERWISE THAN BY REACTIONS ONLY INVOLVING UNSATURATED CARBON-TO-CARBON BONDS;
C08F: MACROMOLECULAR COMPOUNDS OBTAINED BY REACTIONS ONLY INVOLVING CARBON-TO-CARBON UNSATURATED BONDS;
C08L: COMPOSITIONS OF MACROMOLECULAR COMPOUNDS"
US8435237_B2|Polyp encapsulation system and method|1/29/2008|5/7/2013|COVIDIEN|Bahney, Timothy J. (Portland)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61F: FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS;
C08L: COMPOSITIONS OF MACROMOLECULAR COMPOUNDS"
US8109910_B2|Flip-top design cannula|2/14/2008|2/7/2012|COVIDIEN|"Zastawny, Mathieu (Philadelphia);
Byar, Peter (Willingboro)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8162895_B2|Endoluminal access device|1/25/2008|4/24/2012|COVIDIEN|Sniffin, Kevin (Danbury)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8523853_B2|Hybrid contact quality monitoring return electrode|2/5/2008|9/3/2013|COVIDIEN|Dunning, James E. (Lafayette)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8256080_B2|System and method for manufacturing a medical instrument|1/28/2008|9/4/2012|COVIDIEN|"Cunningham, James S. (Boulder);
Higley, Douglas A. (Denver)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US8298231_B2|Bipolar scissors for adenoid and tonsil removal|1/31/2008|10/30/2012|COVIDIEN|Sartor, Joe D. (Longmont)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8382792_B2|End effector assembly for electrosurgical device|2/14/2008|2/26/2013|COVIDIEN|Chojin, Edward M. (Boulder)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8388646_B2|Monocoque jaw design|2/22/2008|3/5/2013|COVIDIEN|Chojin, Edward M. (Boulder)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US8764748_B2|End effector assembly for electrosurgical device and method for making the same|2/6/2008|7/1/2014|COVIDIEN|Chojin, Edward M. (Boulder)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8273105_B2|Compound barb medical device and method|2/20/2008|9/25/2012|COVIDIEN|"Cohen, Matthew D. (Berlin);
Maiorino, Nicholas (Branford);
Kosa, Timothy D. (Hamden);
Buchter, Mark S. (Ansonia);
Primavera, Michael (Orange);
Buchter, Mark S. (Ansona)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US9375287_B2|Target identification tool for intra-body localization|1/29/2008|6/28/2016|COVIDIEN|"Hastings, Paige B. (Bloomington);
Mckinley, David J. (Chanhassen);
Fitelzon, Shai (Qadima)"|"A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR;
A61B: DIAGNOSIS; SURGERY; IDENTIFICATION"
US10376261_B2|Anchoring suture|4/1/2008|8/13/2019|COVIDIEN|"Maiorino, Nicholas (Branford);
Kosa, Timothy D. (Hamden);
Stopek, Megan (Yalesville)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8328803_B2|Polyp removal device and method of use|1/31/2008|12/11/2012|"COVIDIEN;
UNIQUE SURGICAL INNOVATIONS"|"Regadas, F. Sergio P. (Fortaleza-Ceara);
Regadas, F. S‚rgio P. (Fortaleza-Ceara)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8187263_B2|System and method for return electrode monitoring|2/4/2008|5/29/2012|COVIDIEN|"Wham, Robert H. (Boulder);
Behnke, Robert J. (Erie)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8221418_B2|Endoscopic instrument for tissue identification|2/7/2008|7/17/2012|COVIDIEN|"Prakash, Mani N. (Boulder);
Bahney, Timothy J. (Portland);
Odom, Darren (Longmont)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20090216243_A1|Guide for creating femoral tunnel during acl reconstruction|2/21/2008|8/27/2009|COVIDIEN|Re, Paul (Boston)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8292894_B2|Device for orienting the tibial tunnel position during an ACL reconstruction|2/21/2008|10/23/2012|COVIDIEN|Re, Paul (Boston)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8623276_B2|Method and system for sterilizing an electrosurgical instrument|2/15/2008|1/7/2014|COVIDIEN|"Schmaltz, Dale F. (Fort Collins);
Guerra, Paul (Los Gatos);
Appel, Victor K. (Longmont)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8231620_B2|Extension cutting blade|2/10/2009|7/31/2012|COVIDIEN|Mathonnet, Olivier (Chassieu)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
C08L: COMPOSITIONS OF MACROMOLECULAR COMPOUNDS"
US8968345_B2|Surgical introducer with indicators|3/24/2008|3/3/2015|COVIDIEN|Decarlo, Arnold V. (Frederick)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US10388066_B2|Controlled perspective guidance method|2/12/2008|8/20/2019|COVIDIEN|Averbuch, Dorian (Ramat Hasharon)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
G06T: IMAGE DATA PROCESSING OR GENERATION, IN GENERAL"
US8246575_B2|Flexible hollow spine with locking feature and manipulation structure|2/26/2008|8/21/2012|COVIDIEN|Viola, Frank J. (Sandy Hook)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR"
US8696553_B2|Automatic retractable syringe|2/18/2008|4/15/2014|"COVIDIEN;
FUJIFILM"|"Yamane, Kenji (Saitama-Shi);
Yamane, Kenji (Saitama)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR;
F04B: POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS; PUMPS"
US8275553_B2|System and method for evaluating physiological parameter data|2/19/2008|9/25/2012|COVIDIEN|"Ochs, James (Seattle);
Batchelder, Keith (New York);
Amundson, Scott (Oakland)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
G16H: HEALTHCARE INFORMATICS, i.e. INFORMATION AND COMMUNICATION TECHNOLOGY [ICT] SPECIALLY ADAPTED FOR THE HANDLING OR PROCESSING OF MEDICAL OR HEALTHCARE DATA;
G06F: ELECTRIC DIGITAL DATA PROCESSING"
US8286339_B2|Two piece tube for suction coagulator|2/18/2009|10/16/2012|COVIDIEN|Huseman, Mark J. (Broomfield)|"Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION;
A61B: DIAGNOSIS; SURGERY; IDENTIFICATION"
US8444641_B2|Two piece tube for suction coagulator|2/18/2009|5/21/2013|COVIDIEN|Huseman, Mark J. (Broomfield)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8454600_B2|Two piece tube for suction coagulator|2/18/2009|6/4/2013|COVIDIEN|Huseman, Mark J. (Broomfield)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8460291_B2|Two piece tube for suction coagulator|2/18/2009|6/11/2013|COVIDIEN|Huseman, Mark J. (Broomfield)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8750953_B2|Methods and systems for alerting practitioners to physiological conditions|2/19/2008|6/10/2014|COVIDIEN|"Ochs, James (Seattle);
Batchelder, Keith (New York);
Amundson, Scott (Oakland)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR;
G08B: SIGNALLING OR CALLING SYSTEMS; ORDER TELEGRAPHS; ALARM SYSTEMS"
US20090246797_A1|Medical device for the assessment of internal organ tissue and technique for using the same|3/28/2008|10/1/2009|COVIDIEN|"Rideout, Christina (Middletown);
Hausmann, Gilbert (Felton);
Campbell, Shannon (Boulder)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
G01N: INVESTIGATING OR ANALYSING MATERIALS BY DETERMINING THEIR CHEMICAL OR PHYSICAL PROPERTIES"
US8257349_B2|Electrosurgical apparatus with predictive RF source control|3/28/2008|9/4/2012|COVIDIEN|Orszulak, James H. (Nederland)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8197473_B2|Leaky-wave antennas for medical applications|2/20/2009|6/12/2012|COVIDIEN|"Brannan, Joseph D. (Erie);
Rossetto, Francesca (Longmont);
Deborski, Christopher A. (Denver);
Paulus, Joseph A. (Louisville)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
H01Q: ANTENNAS, i.e. RADIO AERIALS;
H04B: TRANSMISSION"
US8202270_B2|Leaky-wave antennas for medical applications|2/20/2009|6/19/2012|COVIDIEN|"Brannan, Joseph D. (Erie);
Rossetto, Francesca (Longmont);
Deborski, Christopher A. (Denver);
Paulus, Joseph A. (Louisville)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8940003_B2|Methods and apparatus for flow restoration|2/22/2008|1/27/2015|"COVIDIEN;
TYCO HEALTHCARE"|"Mccarthy, Thomas (San Clemente);
Shrivastava, Sanjay (Irvine);
Slee, Earl Howard (Laguna Niguel);
Wilder, Iii Thomas (Newport Beach);
Franco, David (Irvine);
Ashby, Mark Philip (Laguna Niguel)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61F: FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR"
US8636733_B2|Electrosurgical pencil including improved controls|3/31/2008|1/28/2014|COVIDIEN|Heard, David N. (Boulder)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8597292_B2|Electrosurgical pencil including improved controls|3/31/2008|12/3/2013|COVIDIEN|Kerr, Duane E. (Loveland)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8965536_B2|Intracooled percutaneous microwave ablation probe|3/3/2008|2/24/2015|COVIDIEN|"Bonn, Kenlyn S. (Boulder);
Butcher, Steven E. (Berthoud)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8733611_B2|Ratcheting mechanism for surgical stapling device|3/12/2008|5/27/2014|COVIDIEN|Milliman, Keith L. (Bethel)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8246614_B2|High-strength microwave antenna coupling|4/17/2008|8/21/2012|COVIDIEN|Decarlo, Arnold V. (Frederick)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8792949_B2|Reducing nuisance alarms|3/31/2008|7/29/2014|COVIDIEN|Baker, Jr. Clark R. (Newman)|"G16H: HEALTHCARE INFORMATICS, i.e. INFORMATION AND COMMUNICATION TECHNOLOGY [ICT] SPECIALLY ADAPTED FOR THE HANDLING OR PROCESSING OF MEDICAL OR HEALTHCARE DATA;
A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
G06F: ELECTRIC DIGITAL DATA PROCESSING"
US9192427_B2|Bipolar cutting end effector|3/11/2008|11/24/2015|COVIDIEN|"Couture, Gary M. (Longmont);
Johnson, Kristin D. (Louisville)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US7828775_B2|Telescoping cannula|4/11/2008|11/9/2010|COVIDIEN|Okoniewski, Gregory G. (North Haven)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8118808_B2|Cooled dielectrically buffered microwave dipole antenna|3/10/2009|2/21/2012|COVIDIEN|"Brannan, Joseph D. (Erie);
Smith, Ian (Boulder)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61N: ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION;
H01Q: ANTENNAS, i.e. RADIO AERIALS"
US8550988_B2|Endoscopic cleaner|4/21/2008|10/8/2013|COVIDIEN|Pribanic, Justin R. (Broad Brook)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9987072_B2|System and method for detecting a fault in a capacitive return electrode for use in electrosurgery|3/17/2008|6/5/2018|COVIDIEN|Mcpherson, James W. (Boulder)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8226665_B2|Ultrasonic needle driver|4/4/2008|7/24/2012|COVIDIEN|Cohen, Matthew D. (Berlin)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8409186_B2|Crest factor enhancement in electrosurgical generators|3/13/2008|4/2/2013|COVIDIEN|"Wham, Robert H. (Boulder);
Behnke, Robert J. (Erie)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
H03F: AMPLIFIERS"
US8007473_B2|Access assembly with multi-flapper design|4/10/2008|8/30/2011|COVIDIEN|"Aranyi, Ernest (Easton);
Smith, Robert C. (Middletown)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8328802_B2|Cordless medical cauterization and cutting device|3/19/2008|12/11/2012|COVIDIEN|"Bales, Thomas O. (Coral Gables);
Palmer, Matthew A. (Miami);
Deville, Derek Dee (Coral Gables);
Palmer, Mattew A. (Miami);
Kline, Korey (Miami);
Mcbrayer, Sean (Miami)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8491581_B2|Method for powering a surgical instrument|3/19/2008|7/23/2013|COVIDIEN|"Bales, Thomas O. (Coral Gables);
Palmer, Matthew A. (Miami);
Deville, Derek Dee (Coral Gables);
Kline, Korey (Miami);
Mcbrayer, Sean (Miami)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8425428_B2|Nitric oxide measurements in patients using flowfeedback|3/31/2008|4/23/2013|COVIDIEN|Wood, Lockett E. (Lyons)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8452366_B2|Medical monitoring device with flexible circuitry|3/16/2009|5/28/2013|COVIDIEN|Gilland, Bruce (Superior)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8298225_B2|System and method for return electrode monitoring|3/19/2009|10/30/2012|COVIDIEN|Gilbert, James A. (Boulder)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20100240972_A1|Slider Spot Check Pulse Oximeter|3/20/2009|9/23/2010|COVIDIEN|Neal, Jon (Parker)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US8256613_B2|Suture packaging for barbed sutures|4/7/2008|9/4/2012|COVIDIEN|"Kirsch, David (Madison);
Prescott, Michael (Hamden)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20090259251_A1|Loop suture|4/11/2008|10/15/2009|COVIDIEN|Cohen, Matthew D. (Berlin)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US7891485_B2|Suture retainer with rib members|4/11/2008|2/22/2011|COVIDIEN|Prescott, Michael (Hamden)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8640700_B2|Method for selecting target settings in a medical device|3/27/2008|2/4/2014|COVIDIEN|Baker, Jr. Clark R. (Newman)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR"
US8640699_B2|Breathing assistance systems with lung recruitment maneuvers|3/27/2008|2/4/2014|COVIDIEN|Baker, Jr. Clark R. (Newman)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR"
